HUC,X_METER_IN,Y_METER_IN,X_METER_OUT,Y_METER_OUT
2020005,2074024.607,53172.5789,2074024.607,53172.5789
2020006,2118825.92,46999.61927,2118825.92,46999.61927
2020007,2104842.991,-51348.7745,2104842.991,-51348.7745
2020008,2138325.383,-31746.20162,2138325.383,-31746.20162
2030101,2161761.019,-67544.78611,2161761.019,-67544.78611
2030102,2172081.043,-98300.7337,2172081.043,-98300.7337
2030103,2133191.565,-112234.1882,2133191.565,-112234.1882
2030104,2144291.409,-142488.7126,2157528.457,-161796.4215
2030105,2119414.063,-168461.2146,2119414.063,-168461.2146
2030201,2226435.075,-81231.70912,2226435.075,-81231.70912
2030202,2236870.387,-94761.56634,2236870.387,-94761.56634
2040101,2044903.471,-51943.15118,2032471.749,-21884.64888
2040102,2053093.773,-6646.129054,2053093.773,-6646.129054
2040103,2033390.124,-79864.51743,2033390.124,-79864.51743
2040104,2068539.321,-82082.25538,2068539.321,-82082.25538
2040105,2075385.34,-143120.9215,2084936.211,-159601.4415
2040106,2029608.151,-155683.3786,2029608.151,-155683.3786
2040201,2113023.643,-212200.0473,2113023.643,-212200.0473
2040202,2104580.837,-244112.5883,2104580.837,-244112.5883
2040203,2031143.744,-211418.4398,2031143.744,-211418.4398
2040204,2116487.806,-335041.0313,2116487.806,-335041.0313
2040205,2054601.839,-274943.3873,2054601.839,-274943.3873
2040206,2110967.634,-299316.3551,2110967.634,-299316.3551
2040207,2098763.392,-350321.5341,2098763.392,-350321.5341
2040301,2159347.036,-237467.0067,2159347.036,-237467.0067
2040302,2146801.596,-291618.0264,2146801.596,-291618.0264
2050101,2006597.369,22660.17409,2006597.369,22660.17409
2050102,1958239.828,23133.63177,1958239.828,23133.63177
2050103,1933271.47,-31868.11706,1933271.47,-31868.11706
2050104,1851789.384,-73009.86051,1851789.384,-73009.86051
2050105,1870452.953,-43401.56584,1870452.953,-43401.56584
2050106,1957696.221,-82334.30329,1957696.221,-82334.30329
2050107,1979720.252,-134652.0812,1979720.252,-134652.0812
2050201,1799172.765,-217706.2497,1799172.765,-217706.2497
2050202,1798120.149,-156245.5615,1798120.149,-156245.5615
2050203,1845953.426,-151242.4879,1845953.426,-151242.4879
2050204,1853805.718,-193869.9382,1853805.718,-193869.9382
2050205,1857593.31,-119807.0276,1857593.31,-119807.0276
2050206,1915501.705,-141691.5201,1915501.705,-141691.5201
2050301,1925005.289,-202563.7269,1925005.289,-202563.7269
2050302,1828150.745,-251658.4616,1828150.745,-251658.4616
2050303,1822518.699,-302968.2476,1822518.699,-302968.2476
2050304,1877297.192,-251394.1782,1877297.192,-251394.1782
2050305,1934666.477,-252427.0867,1934666.477,-252427.0867
2050306,1985486.399,-277902.4755,1985486.399,-277902.4755
2060001,2047347.901,-413699.7017,2047347.901,-413699.7017
2060002,2047954.172,-335405.3366,2047954.172,-335405.3366
2060003,1988459.72,-335515.0186,1988459.72,-335515.0186
2060004,2016171.65,-402249.7178,2016171.65,-402249.7178
2060005,2065281.847,-388778.5332,2065281.847,-388778.5332
2060006,1995716.432,-402916.1528,1995716.432,-402916.1528
2060007,2070514.421,-426172.5815,2084360.938,-430977.6033
2060008,2095443.663,-400863.7764,2095443.663,-400863.7764
2060009,2118161.495,-444096.7077,2118161.495,-444096.7077
2060010,2136555.535,-414703.8517,2136555.535,-414703.8517
2070001,1790329.65,-457693.9866,1790329.65,-457693.9866
2070002,1792309.859,-381415.8374,1792309.859,-381415.8374
2070003,1830236.782,-388060.3787,1830236.782,-388060.3787
2070004,1874829.503,-346231.8635,1874829.503,-346231.8635
2070005,1833396.845,-503662.8515,1833396.845,-503662.8515
2070006,1837342.868,-453533.7059,1837342.868,-453533.7059
2070007,1885061.721,-404107.5459,1885061.721,-404107.5459
2070008,1922254.888,-392345.0725,1922254.888,-392345.0725
2070009,1931766.895,-335484.5858,1931766.895,-335484.5858
2070010,1951708.39,-420626.4436,1951708.39,-420626.4436
2070011,1998961.039,-463795.7572,1998961.039,-463795.7572
2080101,2091785.937,-535421.7455,2091785.937,-535421.7455
2080102,2056458.715,-553410.1693,2053313.383,-533459.1958
2080103,1896282.523,-471472.1031,1896282.523,-471472.1031
2080104,2008868.266,-501929.5153,2008868.266,-501929.5153
2080105,1975944.883,-512465.0019,1975944.883,-512465.0019
2080106,1948261.753,-528678.5292,1948261.753,-528678.5292
2080107,2049255.676,-560438.5365,2049255.676,-560438.5365
2080108,2077960.963,-588213.0042,2094145.303,-592605.2359
2080109,2113143.013,-511415.2919,2113143.013,-511415.2919
2080110,2119923.332,-513971.6093,2121758.607,-520400.171
2080201,1759843.035,-586105.1884,1759843.035,-586105.1884
2080202,1796612.006,-563423.7567,1796612.006,-563423.7567
2080203,1850722.687,-582061.3142,1850722.687,-582061.3142
2080204,1872776.567,-528774.3311,1872776.567,-528774.3311
2080205,1922543.685,-566719.658,1922543.685,-566719.658
2080206,2018406.869,-576252.2364,2018406.869,-576252.2364
2080207,1929484.563,-601509.4109,1929484.563,-601509.4109
2080208,2080849.923,-614371.435,2080849.923,-614371.435
3010101,1786246.796,-655022.6928,1786246.796,-655022.6928
