HUC_values,THG,X_METER_IN,Y_METER_IN,X_METER_OUT,Y_METER_OUT
4030105,1.76,915487.0611,107513.6576,915487.0611,107513.6576
4030107,1.682,908818.4196,220318.4394,908818.4196,220318.4394
4030108,3.2291,925854.7536,146230.2227,925854.7536,146230.2227
4030110,0.653,955379.6726,213241.2659,955379.6726,213241.2659
4030201,0.289895821,867080.7381,-70145.79226,867080.7381,-70145.79226
4030202,1.779,877091.8026,27465.94151,877091.8026,27465.94151
4030203,0.683749958,923505.0827,-54923.74776,923505.0827,-54923.74776
4040001,1.6297,1079306.235,-287556.421,1079306.235,-287556.421
4040002,4.77065,986099.4758,-180059.2136,986099.4758,-180059.2136
4040003,2.088095204,961284.2212,-107385.4324,961284.2212,-107385.4324
4050001,1.4405,1190209.286,-245405.548,1190209.286,-245405.548
4050002,0.494497581,1134897.591,-172373.4636,1134897.591,-172373.4636
4050003,0.393,1200941.227,-179728.3074,1200941.227,-179728.3074
4050004,0.445709115,1271033.428,-149122.1082,1271033.428,-149122.1082
4050006,0.575588198,1173413.836,-106359.9992,1173413.836,-106359.9992
4050007,1.550435122,1208969.061,-147692.7094,1208969.061,-147692.7094
4060101,0.528789927,1114770.665,-44480.55781,1114770.665,-44480.55781
4060102,0.39727339,1175597.527,-14615.94176,1175597.527,-14615.94176
4060104,0.322,1109606.739,64271.08937,1109606.739,64271.08937
4060105,0.444,1160462.72,113097.6638,1160462.72,113097.6638
4070006,0.392,1267141.056,123580.9608,1267141.056,123580.9608
4070007,0.412,1245770.165,82217.7192,1245770.165,82217.7192
4080202,0.299,1217047.434,-45004.5364,1217047.434,-45004.5364
4080203,0.210388322,1266234.872,-59178.53261,1289114.874,-89568.19469
4090003,0.604385186,1374297.922,-110918.5536,1374297.922,-110918.5536
4090005,0.487,1330073.333,-156338.0586,1330073.333,-156338.0586
4100002,0.368,1320646.362,-206498.855,1320646.362,-206498.855
4100005,4.3798,1268209.932,-306206.6029,1268209.932,-306206.6029
4110002,4.6452,1544128.933,-237966.0018,1544128.933,-237966.0018
4110004,1.6164,1576232.548,-195169.6896,1576232.548,-195169.6896
4150101,1.55,1967639.368,163600.0442,1967639.368,163600.0442
4150302,1.59,1947385.592,218584.0968,1947385.592,218584.0968
4150304,0.52,1956823.647,245682.2114,1956823.647,245682.2114
4150305,0.845,2014381.518,203884.1206,1993190.525,234210.8208
4150307,1.11,2006438.329,306261.6379,2006438.329,306261.6379
5010005,8.09,1737840.817,-180219.6828,1737840.817,-180219.6828
5010009,0.85,1692821.519,-273887.1643,1692821.519,-273887.1643
5020005,1.56,1692587.264,-349298.7612,1692587.264,-349298.7612
5020006,1.16,1747730.76,-351307.7108,1747730.76,-351307.7108
5080001,2.1,1344661.751,-407851.5691,1344661.751,-407851.5691
5080002,2.05,1322968.445,-476191.1162,1322968.445,-476191.1162
5080003,0.81,1279807.604,-479157.7103,1279807.604,-479157.7103
5090202,1.83,1373319.962,-488938.722,1373319.962,-488938.722
5120101,4.1104,1232800.188,-367202.089,1232800.188,-367202.089
