QW_SEQ,CEN,SULFATE
4565,FALSE,2.406
2761,FALSE,2.41999155
4158,FALSE,2.464
4597,FALSE,2.482
3547,FALSE,2.5
5098,FALSE,2.5
2771,FALSE,2.50221891
2757,FALSE,2.54381289
2742,FALSE,2.54597424
2857,FALSE,2.55726129
4737,FALSE,2.57
5041,FALSE,2.58
2780,FALSE,2.5806519
3556,FALSE,2.59
4687,FALSE,2.6
5189,FALSE,2.6
4790,FALSE,2.60951793
3546,FALSE,2.61
3554,FALSE,2.61
5186,FALSE,2.62
3815,FALSE,2.622
4231,FALSE,2.622
2769,FALSE,2.63218809
2756,FALSE,2.63406126
2751,FALSE,2.64592467
3829,FALSE,2.658
3371,FALSE,2.66
4724,FALSE,2.682
3813,FALSE,2.69
5194,FALSE,2.69
3816,FALSE,2.693
3814,FALSE,2.698
3557,FALSE,2.7
4634,FALSE,2.7
5284,FALSE,2.7
2766,FALSE,2.70365673
4741,FALSE,2.704
2740,FALSE,2.70653853
5200,FALSE,2.71
4670,FALSE,2.716
4232,FALSE,2.726
4155,FALSE,2.728
2862,FALSE,2.74169649
3013,FALSE,2.75
2860,FALSE,2.76816102
5192,FALSE,2.77
4566,FALSE,2.777
4831,FALSE,2.799
4022,FALSE,2.802
4064,FALSE,2.816
2831,FALSE,2.83160865
3381,FALSE,2.85
5193,FALSE,2.85
2858,FALSE,2.85533547
3742,FALSE,2.86
3559,FALSE,2.87
5222,FALSE,2.88
4021,FALSE,2.881
4708,FALSE,2.882
3817,FALSE,2.893
3812,FALSE,2.898
4393,FALSE,2.9
4932,FALSE,2.9
5300,FALSE,2.9
4600,FALSE,2.901
3562,FALSE,2.91
5255,FALSE,2.91
3795,FALSE,2.921
3797,FALSE,2.927
2758,FALSE,2.93713056
4672,FALSE,2.939
2976,FALSE,2.94
5106,FALSE,2.94
5264,FALSE,2.94
2733,FALSE,2.94097296
3818,FALSE,2.944
2786,FALSE,2.94697671
3836,FALSE,2.948
5037,FALSE,2.95
3794,FALSE,2.959
4170,FALSE,2.97
5023,FALSE,2.97
4755,FALSE,2.98
4345,FALSE,3
4638,FALSE,3
4469,FALSE,3.01
4023,FALSE,3.011
4470,FALSE,3.017
3750,FALSE,3.03
4503,FALSE,3.03
4505,FALSE,3.04
2770,FALSE,3.04630275
4166,FALSE,3.064
3850,FALSE,3.086
3730,FALSE,3.09
4704,FALSE,3.092
2750,FALSE,3.09702243
