      QW_SEQ          OBS     CENSORED      MODELED
        4325     0.020000        False     0.020000
        4445     0.020000        False     0.020000
        4449     0.020000        False     0.020000
        4450     0.020000        False     0.020000
        4457     0.020000        False     0.020000
        4967     0.020000        False     0.020000
        5011     0.020000        False     0.020000
        5014     0.020000        False     0.020000
        5018     0.020000        False     0.020000
        5121     0.020000        False     0.020000
        4773     0.020100        False     0.020100
        4149     0.020200        False     0.020200
        4278     0.020200        False     0.020200
        3579     0.020300         True     0.009413
        3577     0.020400        False     0.020400
        5235     0.020400        False     0.020400
        3716     0.020500         True     0.009466
        5156     0.020500        False     0.020500
        3514     0.020600        False     0.020600
        3511     0.020900        False     0.020900
        5208     0.020900        False     0.020900
        3512     0.021000        False     0.021000
        3829     0.021000        False     0.021000
        4294     0.021000        False     0.021000
        4571     0.021000        False     0.021000
        3651     0.021100        False     0.021100
        3448     0.021100         True     0.006853
        4960     0.021100         True     0.012855
        5133     0.021200        False     0.021200
        5252     0.021200         True     0.009703
        4783     0.021300        False     0.021300
        3463     0.021400        False     0.021400
        3842     0.021400        False     0.021400
        5109     0.021500        False     0.021500
        3575     0.021600         True     0.006948
        3629     0.021600         True     0.013098
        3710     0.021800        False     0.021800
        3725     0.022000        False     0.022000
        5259     0.022000        False     0.022000
        3828     0.022100        False     0.022100
        3713     0.022200         True     0.009941
        3724     0.022200        False     0.022200
        3653     0.022400        False     0.022400
        3610     0.022400         True     0.009967
        5108     0.022400        False     0.022400
        5239     0.022400        False     0.022400
        3525     0.022500         True     0.007075
        3528     0.022500         True     0.013422
        3662     0.022600        False     0.022600
        3605     0.022700         True     0.010072
        3594     0.022800        False     0.022800
        3527     0.023100         True     0.010098
        3612     0.023100        False     0.023100
        3470     0.023200        False     0.023200
        3460     0.023300        False     0.023300
        3593     0.023300         True     0.010150
        3606     0.023400         True     0.010176
        4468     0.023500        False     0.023500
        5120     0.023500        False     0.023500
        5142     0.023500        False     0.023500
        3561     0.023600         True     0.005770
        3573     0.023600        False     0.023600
        3600     0.023600         True     0.010255
        3604     0.023600         True     0.015721
        3791     0.023600        False     0.023600
        4798     0.023700         True     0.007231
        4803     0.023700         True     0.013827
        3730     0.023800        False     0.023800
        3948     0.023800        False     0.023800
        3951     0.023800        False     0.023800
        4264     0.023800        False     0.023800
        3652     0.023900        False     0.023900
        3529     0.023900         True     0.010410
        4115     0.023900        False     0.023900
        3739     0.023900        False     0.023900
        3722     0.024000        False     0.024000
        4151     0.024000        False     0.024000
        4296     0.024000        False     0.024000
        4795     0.024200         True     0.010565
        3559     0.024300         True     0.005905
        3576     0.024300         True     0.010565
        3603     0.024300         True     0.016320
        5197     0.024300        False     0.024300
        3524     0.024400         True     0.005916
        3584     0.024400         True     0.010591
        3627     0.024400         True     0.016370
        3574     0.024500         True     0.007401
        3597     0.024500         True     0.014272
        4802     0.024600         True     0.010591
        3723     0.024800        False     0.024800
