QW_SEQ,CEN,P_HG
5254,FALSE,0.6671
5117,FALSE,0.6726
3585,FALSE,0.6761
3880,FALSE,0.678
4331,FALSE,0.678
3968,FALSE,0.6795
3175,FALSE,0.68
3427,FALSE,0.68
3444,FALSE,0.68
3448,FALSE,0.6842
3588,FALSE,0.6861
3810,FALSE,0.687
4548,FALSE,0.687
4957,FALSE,0.6876
3577,FALSE,0.6906
5235,FALSE,0.6906
3731,FALSE,0.6929
4328,FALSE,0.6931
3997,FALSE,0.695
3554,FALSE,0.6993
5240,FALSE,0.6998
4959,FALSE,0.7003
4309,FALSE,0.7007
5151,FALSE,0.7038
3644,FALSE,0.7065
3718,FALSE,0.707
3623,FALSE,0.7071
4545,FALSE,0.709
3741,FALSE,0.7097
4447,FALSE,0.712
4800,FALSE,0.7147
3645,FALSE,0.7148
3837,FALSE,0.715
4104,FALSE,0.7166
4128,FALSE,0.718
3189,FALSE,0.72
3443,FALSE,0.72
3571,FALSE,0.7217
5252,FALSE,0.7222
4801,FALSE,0.7363
4552,FALSE,0.737
5203,FALSE,0.7382
3942,FALSE,0.7395
3943,FALSE,0.7395
3630,FALSE,0.7402
3881,FALSE,0.743
3591,FALSE,0.7442
4817,FALSE,0.746
3657,FALSE,0.7465
3192,FALSE,0.75
4017,FALSE,0.75
3581,FALSE,0.7524
4773,FALSE,0.7542
3841,FALSE,0.7588
4251,FALSE,0.759
4277,FALSE,0.768
5111,FALSE,0.7684
3604,FALSE,0.7692
5104,FALSE,0.7695
4785,FALSE,0.7718
3614,FALSE,0.7719
3886,FALSE,0.772
4792,FALSE,0.7744
4455,FALSE,0.7745
4961,FALSE,0.7772
5147,FALSE,0.7772
5219,FALSE,0.7781
4054,FALSE,0.779
3885,FALSE,0.78
3509,FALSE,0.7812
3678,FALSE,0.7814
3697,FALSE,0.7821
4967,FALSE,0.788
3469,FALSE,0.7896
5109,FALSE,0.7957
4306,FALSE,0.796
4284,FALSE,0.8009
3589,FALSE,0.8046
4300,FALSE,0.808
5106,FALSE,0.8103
5131,FALSE,0.8112
3888,FALSE,0.812
3516,FALSE,0.8124
3464,FALSE,0.8138
3435,FALSE,0.82
3621,FALSE,0.8242
4596,FALSE,0.827
3564,FALSE,0.8311
4553,FALSE,0.834
4282,FALSE,0.846
4581,FALSE,0.848
4026,FALSE,0.85
4281,FALSE,0.8548
3590,FALSE,0.8549
3460,FALSE,0.8551
3639,FALSE,0.8577
3421,FALSE,0.86
3879,FALSE,0.864
3743,FALSE,0.8655
4963,FALSE,0.8668
4575,FALSE,0.871
4787,FALSE,0.8714
5122,FALSE,0.8733
3459,FALSE,0.8741
3518,FALSE,0.8743
3517,FALSE,0.8766
3617,FALSE,0.8807
3461,FALSE,0.8817
3519,FALSE,0.884
3652,FALSE,0.8859
4313,FALSE,0.887
3190,FALSE,0.89
3582,FALSE,0.8948
4549,FALSE,0.895
5259,FALSE,0.9047
5116,FALSE,0.9054
4477,FALSE,0.906
3846,FALSE,0.91
4264,FALSE,0.911
4475,FALSE,0.912
4008,FALSE,0.9189
4550,FALSE,0.92
3579,FALSE,0.9208
3640,FALSE,0.9223
5108,FALSE,0.925
3616,FALSE,0.9252
4473,FALSE,0.938
4769,FALSE,0.9388
5110,FALSE,0.9477
4287,FALSE,0.95
5121,FALSE,0.9645
4311,FALSE,0.965
3659,FALSE,0.9707
4266,FALSE,0.975
3600,FALSE,0.9767
4467,FALSE,0.9771
3434,FALSE,0.98
4558,FALSE,0.98
4005,FALSE,0.981
3602,FALSE,0.9856
5224,FALSE,0.9858
4557,FALSE,0.994
5251,FALSE,0.9951
5018,FALSE,0.996
