      QW_SEQ          OBS     CENSORED      MODELED
        3655     0.039457        False     0.039457
        4326     0.039500        False     0.039500
        3099     0.039541        False     0.039541
        4785     0.039546        False     0.039546
        3154     0.039587        False     0.039587
        4447     0.039600        False     0.039600
        4245     0.039733        False     0.039733
        4125     0.039800        False     0.039800
        3254     0.039938        False     0.039938
        3630     0.039965        False     0.039965
        2898     0.040000        False     0.040000
        3250     0.040000         True     0.001480
        3258     0.040000        False     0.040000
        3259     0.040000        False     0.040000
        3260     0.040000        False     0.040000
        3330     0.040000        False     0.040000
        3331     0.040000        False     0.040000
        3340     0.040000        False     0.040000
        3065     0.040000         True     0.002053
        3067     0.040000         True     0.002518
        3073     0.040000         True     0.002928
        3080     0.040000        False     0.040000
        3081     0.040000        False     0.040000
        3093     0.040000         True     0.003305
        3094     0.040000         True     0.003660
        3095     0.040000         True     0.003999
        3097     0.040000         True     0.004324
        3105     0.040000        False     0.040000
        3106     0.040000        False     0.040000
        3116     0.040000         True     0.004640
        3118     0.040000         True     0.004948
        3121     0.040000         True     0.005250
        3128     0.040000        False     0.040000
        3134     0.040000         True     0.005546
        3136     0.040000         True     0.005839
        3141     0.040000        False     0.040000
        3150     0.040000         True     0.006127
        3151     0.040000         True     0.006412
        3156     0.040000        False     0.040000
        3164     0.040000         True     0.006695
        3166     0.040000         True     0.006975
        3167     0.040000         True     0.007254
        3184     0.040000         True     0.007532
        3185     0.040000         True     0.007808
        3197     0.040000         True     0.008083
        3198     0.040000         True     0.008357
        3205     0.040000         True     0.008631
        3212     0.040000         True     0.008904
        3216     0.040000         True     0.009177
        3222     0.040000         True     0.009450
        3223     0.040000         True     0.009723
        3233     0.040000         True     0.009996
        3236     0.040000        False     0.040000
        3637     0.040000        False     0.040000
        3638     0.040000        False     0.040000
        3643     0.040000        False     0.040000
        3675     0.040000        False     0.040000
        3676     0.040000        False     0.040000
        3684     0.040000        False     0.040000
        3692     0.040000        False     0.040000
        3699     0.040000        False     0.040000
        3703     0.040000        False     0.040000
        3705     0.040000        False     0.040000
        3717     0.040000         True     0.010270
        3722     0.040000         True     0.010543
        3725     0.040000        False     0.040000
        3731     0.040000         True     0.010817
        3732     0.040000         True     0.011092
        3733     0.040000        False     0.040000
        3434     0.040000        False     0.040000
        3443     0.040000         True     0.011367
        3457     0.040000        False     0.040000
        3473     0.040000        False     0.040000
        3524     0.040000         True     0.011643
        3600     0.040000        False     0.040000
        3610     0.040000        False     0.040000
        3629     0.040000        False     0.040000
        3634     0.040000        False     0.040000
        4095     0.040000        False     0.040000
        4104     0.040000        False     0.040000
        4126     0.040000        False     0.040000
        4137     0.040000         True     0.011919
        3734     0.040000         True     0.012197
        3786     0.040000         True     0.012475
        3789     0.040000         True     0.012754
        3791     0.040000         True     0.013034
        3799     0.040000         True     0.013315
        3801     0.040000         True     0.013597
        3803     0.040000         True     0.013880
        3807     0.040000         True     0.014164
        3808     0.040000        False     0.040000
        3841     0.040000         True     0.014450
        3847     0.040000         True     0.014737
        3874     0.040000        False     0.040000
        4466     0.040000         True     0.015025
        4467     0.040000         True     0.015315
        4468     0.040000        False     0.040000
        4479     0.040000        False     0.040000
        4544     0.040000        False     0.040000
        4168     0.040000         True     0.015606
        4184     0.040000         True     0.015898
        4185     0.040000         True     0.016192
        4186     0.040000         True     0.016487
        4187     0.040000         True     0.016784
        4244     0.040000         True     0.017083
        4248     0.040000         True     0.017383
        4252     0.040000        False     0.040000
