      QW_SEQ          OBS     CENSORED      MODELED
        4909     0.031000        False     0.031000
        4636     0.031000        False     0.031000
        5308     0.031000        False     0.031000
        4739     0.031051        False     0.031051
        4818     0.031067        False     0.031067
        2722     0.031143        False     0.031143
        3099     0.031255        False     0.031255
        2866     0.031391        False     0.031391
        3103     0.031407        False     0.031407
        4722     0.031424        False     0.031424
        4651     0.031685        False     0.031685
        3104     0.031977        False     0.031977
        4353     0.032000        False     0.032000
        4370     0.032000        False     0.032000
        4902     0.032000        False     0.032000
        4077     0.032177        False     0.032177
        4706     0.032312        False     0.032312
        4654     0.032422        False     0.032422
        2751     0.032849        False     0.032849
        4360     0.033000        False     0.033000
        4389     0.033000        False     0.033000
        4925     0.033000        False     0.033000
        5075     0.033000        False     0.033000
        4686     0.033460        False     0.033460
        2758     0.033633        False     0.033633
        4691     0.033717        False     0.033717
        3101     0.033814        False     0.033814
        5062     0.034000        False     0.034000
        4655     0.034611        False     0.034611
        3225     0.034672        False     0.034672
        3154     0.034677        False     0.034677
        4745     0.034944        False     0.034944
        4874     0.035000        False     0.035000
        4880     0.035000        False     0.035000
        4853     0.035000        False     0.035000
        5271     0.035000        False     0.035000
        4690     0.035492        False     0.035492
        3257     0.035716        False     0.035716
        2860     0.035887        False     0.035887
        4893     0.036000        False     0.036000
        4641     0.036000        False     0.036000
        5050     0.036000        False     0.036000
        5078     0.036000        False     0.036000
        3152     0.036243        False     0.036243
        4656     0.036357        False     0.036357
        2809     0.036471        False     0.036471
        4754     0.036625        False     0.036625
        4699     0.036892        False     0.036892
        3755     0.037000        False     0.037000
        4344     0.037000        False     0.037000
        4355     0.037000        False     0.037000
        4923     0.037000        False     0.037000
        4637     0.037000        False     0.037000
        3819     0.037280        False     0.037280
        2833     0.037372        False     0.037372
        2779     0.037552        False     0.037552
        3124     0.037705        False     0.037705
        2826     0.037793        False     0.037793
        3155     0.037940        False     0.037940
        3772     0.038000        False     0.038000
        4915     0.038000        False     0.038000
        3255     0.038076        False     0.038076
        2721     0.038402        False     0.038402
        3235     0.038448        False     0.038448
        4657     0.038746        False     0.038746
        2746     0.038866        False     0.038866
        4349     0.039000        False     0.039000
        4371     0.039000        False     0.039000
        4408     0.039000        False     0.039000
        4924     0.039000        False     0.039000
        5070     0.039000        False     0.039000
        4832     0.039513        False     0.039513
        2887     0.040000        False     0.040000
        3298     0.040000         True     0.003030
        3304     0.040000        False     0.040000
        3331     0.040000        False     0.040000
        3337     0.040000        False     0.040000
        3340     0.040000        False     0.040000
        3353     0.040000         True     0.004360
        3354     0.040000         True     0.005482
        3355     0.040000         True     0.006505
        3356     0.040000         True     0.007469
        3357     0.040000         True     0.008397
        3358     0.040000        False     0.040000
        3359     0.040000        False     0.040000
        3361     0.040000        False     0.040000
        3368     0.040000         True     0.009299
        3369     0.040000         True     0.010184
        3370     0.040000         True     0.011058
        3371     0.040000         True     0.011924
        3372     0.040000         True     0.012785
        3392     0.040000        False     0.040000
        2983     0.040000         True     0.013644
        2984     0.040000         True     0.014503
        2985     0.040000         True     0.015363
        2986     0.040000         True     0.016226
        2990     0.040000         True     0.017092
        2994     0.040000         True     0.017963
        2995     0.040000         True     0.018839
        3025     0.040000         True     0.019722
        3026     0.040000         True     0.020612
        3029     0.040000         True     0.021509
        3037     0.040000        False     0.040000
        3063     0.040000        False     0.040000
        3064     0.040000        False     0.040000
        3080     0.040000        False     0.040000
        3105     0.040000        False     0.040000
        3116     0.040000        False     0.040000
        3148     0.040000        False     0.040000
        3198     0.040000         True     0.022415
        3216     0.040000         True     0.023330
        3396     0.040000         True     0.024255
        3443     0.040000         True     0.025189
        4070     0.040000         True     0.026134
        4079     0.040000         True     0.027090
        4082     0.040000        False     0.040000
        4148     0.040000         True     0.028058
        3823     0.040000         True     0.029037
        4167     0.040000         True     0.030029
        4415     0.040000         True     0.031033
        4993     0.040000         True     0.032051
        4994     0.040000        False     0.040000
        5007     0.040000         True     0.033083
        5025     0.040000         True     0.034129
        5028     0.040000         True     0.035190
        5302     0.040000        False     0.040000
        5272     0.040000        False     0.040000
        4841     0.040684        False     0.040684
        2786     0.040744        False     0.040744
        4675     0.040821        False     0.040821
        4861     0.041000        False     0.041000
        4875     0.041000        False     0.041000
        4934     0.041000        False     0.041000
        5320     0.041000        False     0.041000
        5269     0.041000        False     0.041000
        2834     0.041001        False     0.041001
        4834     0.041147        False     0.041147
        4844     0.041366        False     0.041366
        4644     0.042000        False     0.042000
        5273     0.042000        False     0.042000
        2727     0.042653        False     0.042653
        4845     0.042992        False     0.042992
        4862     0.043000        False     0.043000
        4918     0.043000        False     0.043000
        5161     0.043000        False     0.043000
        4653     0.043481        False     0.043481
        4667     0.043716        False     0.043716
        4738     0.043802        False     0.043802
        2825     0.044000        False     0.044000
        2773     0.044057        False     0.044057
        4852     0.044743        False     0.044743
        4345     0.045000        False     0.045000
        4410     0.045000        False     0.045000
        4743     0.045023        False     0.045023
        4733     0.045879        False     0.045879
        3747     0.046000        False     0.046000
        4358     0.046000        False     0.046000
        5063     0.046000        False     0.046000
        4762     0.047000        False     0.047000
        4854     0.047000        False     0.047000
        4704     0.047241        False     0.047241
        4664     0.047707        False     0.047707
        4659     0.047933        False     0.047933
        4384     0.048000        False     0.048000
        4405     0.048000        False     0.048000
        4411     0.048000        False     0.048000
        4857     0.048000        False     0.048000
        4916     0.048000        False     0.048000
        5094     0.048618        False     0.048618
        3774     0.049000        False     0.049000
        4858     0.049000        False     0.049000
        5321     0.049000        False     0.049000
        5073     0.049000        False     0.049000
        2714     0.050000        False     0.050000
        2728     0.050000        False     0.050000
        2739     0.050000        False     0.050000
        2763     0.050000        False     0.050000
        2777     0.050000        False     0.050000
        2788     0.050000        False     0.050000
        2791     0.050000        False     0.050000
        2801     0.050000        False     0.050000
        2836     0.050000        False     0.050000
        2838     0.050000        False     0.050000
        3245     0.050000        False     0.050000
        3250     0.050000        False     0.050000
        3251     0.050000        False     0.050000
        3328     0.050000        False     0.050000
        3346     0.050000        False     0.050000
        3360     0.050000        False     0.050000
