Id,HUC,ET_ID,ET_X,ET_Y,X_METER,Y_METER
0,19030301,41,-211547.89211,1137898.55025,-2886217.0635663200,2917125.5380731600
0,19030302,42,-29139.39997,1186560.88234,-2719129.3426423700,2825813.3812560600
0,19030303,43,-211310.92345,1032298.14269,-2964815.7314280700,2836197.5186156600
0,19030304,44,-277978.06436,1037705.11903,-3008759.8579552700,2886994.2017896600
0,19030305,45,-345840.90282,1047744.62581,-3050076.9694447300,2942220.4999528300
0,19030401,46,53456.87993,1490660.61742,-2431343.1918850400,2994704.0715078100
0,19030402,47,2752.35276,1375509.63625,-2554536.9074796500,2945094.4806130100
0,19030403,48,-95009.56393,1448712.74695,-2568465.4867609300,3068941.7133047500
0,19030404,49,-162151.27869,1225961.61873,-2784796.2493698800,2949237.6248593000
0,19030405,50,-65072.22060,1319647.79998,-2644976.4381481100,2951285.7385602000
0,19030501,51,-228416.58401,1294446.28021,-2780440.8289407700,3047756.9437969000
0,19030502,52,-426248.47526,1197309.61240,-2995215.8885300500,3113536.5787289300
0,19030503,53,-707997.21591,1196241.85025,-3197381.2555961100,3311269.7687344600
0,19040101,54,651298.40343,1378881.55182,-2089861.4560720300,2489318.9285116600
0,19040102,55,618106.87288,1546797.10309,-1988713.5897055200,2635412.5197091200
0,19040103,56,626912.85187,1604643.77020,-1939201.4716796900,2671224.5372458600
0,19040104,57,565016.89754,1621979.00569,-1970008.7650060300,2727760.8476982000
0,19040201,58,529533.91739,2077856.62006,-1647243.0412006600,3082279.7030520900
0,19040202,59,484790.27068,2042961.44455,-1705216.2365519700,3089219.4536037500
0,19040203,60,419580.65306,2047074.72929,-1747142.0702907800,3138874.5974070100
0,19040204,61,506680.16998,1852460.80147,-1836470.1268434700,2936245.3947456400
0,19040205,62,529257.23708,1965267.83440,-1734279.3133470000,3001464.0499875800
0,19040301,63,236011.22376,1981239.45304,-1925480.6299508300,3222803.8709387200
0,19040302,64,324371.53243,2038057.88846,-1819970.4865007900,3200555.9072323100
0,19040303,65,378978.32943,1958678.33323,-1843860.0702429100,3104196.3786058500
0,19040304,66,323166.08237,1930252.29297,-1904668.9849618300,3123582.4530105100
0,19040401,67,536559.79760,1730962.49069,-1907888.4946652600,2827067.5841119400
0,19040402,68,370853.33838,1779016.17954,-1987772.7792188600,2979993.2496415200
0,19040403,69,269205.28842,1847941.81235,-2005933.9840873000,3102559.3055770500
0,19040404,70,196775.86778,1759870.06533,-2124496.8105970100,3090267.7679475100
0,19040501,71,599652.23659,1433826.83446,-2085971.2606423600,2566024.8854814300
0,19040502,72,547953.95689,1506698.90812,-2068472.8389586900,2655879.2653175300
0,19040503,73,461764.46569,1582137.23231,-2073040.8934790100,2772063.4384601500
0,19040504,74,381219.09334,1546930.15914,-2156588.1056666300,2803498.8451184800
0,19040505,75,415139.56600,1665569.27057,-2042986.7261274000,2865998.3772070600
0,19040506,76,357095.64078,1686206.70892,-2068227.0944332300,2922333.1157611100
0,19040507,77,309013.91793,1608702.30334,-2160992.5667950900,2899980.2402312000
0,19040508,78,252263.64593,1542373.10749,-2251354.6517758800,2891687.1207046100
0,19040509,79,263625.17665,1701880.96345,-2122051.5537444900,3000330.2706667300
0,19040510,80,147611.10967,1534964.75766,-2331038.4709214400,2960556.8379932200
0,19040511,81,146529.27101,1651646.50714,-2242862.2646305600,3047038.8296914100
0,19040601,82,119756.60480,1962929.37971,-2020327.1016294400,3292801.0676010600
0,19040602,83,159978.61798,1884996.36603,-2053335.0667418900,3207526.3240104700
0,19040603,84,17271.08489,1922213.74219,-2123342.6140842400,3336691.1567813400
0,19040604,85,95380.28021,1804733.31838,-2160760.5369613400,3195367.5354367100
0,19040605,86,78535.60108,1883450.47369,-2111194.8180331600,3264676.4994175000
0,19040606,87,-164435.80002,1785407.26359,-2357198.8909781800,3367104.7617918800
0,19040607,88,-84157.17263,1700422.00360,-2367346.8324211600,3247361.7074583000
0,19040608,89,-63957.34086,1779759.59699,-2291480.1834419000,3291065.9156117700
0,19040609,90,-194423.88012,1695448.43245,-2448498.0478104700,3322497.3125931200
0,19040701,91,93865.78423,1733345.84749,-2217067.9031958700,3144366.4881690000
0,19040702,92,-12663.87920,1579457.35926,-2410341.5910196800,3107328.5611683300
0,19040703,93,3411.29121,1719818.94421,-2290928.0922209100,3199049.0576343800
0,19040704,94,44459.82235,1680216.30115,-2292706.3754879500,3140731.5260206300
0,19040705,95,-167124.88464,1623507.93513,-2485208.2766093300,3249934.9175002300
0,19040801,96,-293614.15203,1493840.46785,-2674492.7159701200,3243741.4848065000
0,19040802,97,-131930.33308,1495846.33365,-2558629.2378094200,3130243.2656143200
0,19040803,98,-229846.86928,1446543.45377,-2665683.5521227000,3163053.7452276700
0,19040804,99,-379937.89687,1376423.97172,-2825817.6639502400,3216905.0115001600
0,19040805,100,-519138.75376,1388549.56691,-2915268.7153939800,3324856.6616669500
0,19050101,101,-806395.39149,1591131.26199,-2959536.1761727500,3682912.2772930100
0,19050102,102,-298382.58822,1580477.87797,-2610900.3062669900,3311697.0563945200
0,19050103,103,-336710.04472,1694963.22611,-2548524.0971809200,3423920.1475309900
0,19050104,104,-484198.15964,1692552.01358,-2653616.6481988000,3527778.8032132000
0,19050105,105,-517962.64100,1758015.78559,-2625338.7161401500,3600461.3203478000
0,19050201,106,-545308.70513,1825147.89886,-2590793.6414404100,3669624.4347853600
0,19050202,107,-411146.13589,1800428.71710,-2517242.8468195800,3555010.9070391400
0,19050203,108,-293655.38915,1769942.03490,-2459500.0449873700,3448323.2694208000
0,19050301,109,-257214.96170,1842396.55033,-2376902.1182800000,3475306.2436317000
