Id,HUC,ET_ID,ET_X,ET_Y,X_METER,Y_METER
0,3070105,226,1215265.61970,1096124.02560,1606432.1336748600,-1265068.4422472100
0,3070106,227,1314482.54230,1061257.81936,1708091.8104936400,-1294051.3583597000
0,3070107,228,1263704.30573,1132193.42286,1653910.5974564000,-1225868.6820076100
0,3070201,229,1281657.10143,1009584.63038,1676955.3531350200,-1348049.1576398400
0,3070202,230,1297139.06974,1040792.38435,1691378.1412067100,-1315704.4370774900
0,3070203,231,1364225.58712,996999.17470,1760848.5996880100,-1355736.6780008500
0,3070204,232,1326517.76477,925567.37080,1725453.8904381500,-1430028.8214373200
0,3070205,233,1361860.21353,935320.72199,1760784.2045597000,-1418089.5012471000
0,3080101,234,1448248.78518,723757.12987,1855338.1302925500,-1627165.5433063100
0,3080102,235,1354099.12067,778700.63354,1758520.0879946600,-1576813.5027834900
0,3080103,236,1381809.25148,859297.98475,1783685.0171564600,-1493696.0795915600
0,3080201,237,1430237.33890,822577.04754,1833851.3136440800,-1528025.0131495600
0,3080202,238,1494005.93379,721076.06234,1901571.0828461200,-1627305.1487725900
0,3080203,239,1523672.07097,641847.71176,1933962.0265531000,-1706223.6252230900
0,3090101,240,1446521.09263,646012.14112,1856067.8281360300,-1706230.6083742100
0,3090102,241,1506924.02176,589217.06194,1918665.3187680100,-1760749.8500967300
0,3090103,242,1462995.18293,564401.30692,1875138.0105824700,-1788396.9423803500
0,3090201,243,1508296.98401,551697.25037,1921144.0656491400,-1798931.3705762100
0,3090202,244,1545081.07289,482200.87933,1960131.0829239200,-1867973.6475832600
0,3090203,245,1591122.19593,381040.79244,2009089.4405198300,-1969258.9472829400
0,3090204,246,1467335.35822,453253.39922,1882661.3404819100,-1901578.7882615800
0,3090205,247,1446290.05390,517733.15936,1859664.9868045900,-1836850.8448644600
0,3100101,248,1405094.07019,592786.10357,1815942.5042310100,-1762604.2914224500
0,3100102,249,1369871.48536,562624.94688,1781353.6989418700,-1795164.2756738800
0,3100103,250,1390943.46875,510800.85365,1804114.8517088500,-1846814.0284244300
0,3100201,251,1347395.97585,556679.54997,1758881.0314517500,-1802402.1294673300
0,3100202,252,1350753.43875,590831.24571,1761227.2126919900,-1767506.2919836700
0,3100203,253,1354558.73132,609504.19889,1764487.6257562900,-1748330.5851027400
0,3100204,254,1369690.53445,632761.41495,1779019.7127933500,-1723890.6615708700
0,3100205,255,1349731.01310,662816.00501,1757940.9064500300,-1694474.6337786600
0,3100206,256,1327109.31937,632563.84383,1736088.5261054900,-1726401.0971412200
0,3100207,257,1312965.13763,693287.64280,1719868.6233736500,-1665603.1145366100
0,3100208,258,1353760.48556,719773.81677,1760155.0352892800,-1636504.3632492900
0,3110101,259,1284832.34251,787527.02256,1688304.1533817500,-1571814.7378696800
0,3110102,260,1209286.32284,840306.02380,1610164.9936663000,-1522819.8757328800
0,3110103,261,1170131.42717,900367.92641,1568421.7093676400,-1464546.3631805900
0,3110201,262,1272909.70036,940428.09017,1670755.0575294800,-1418214.3593601800
0,3110202,263,1177102.20973,1039650.38143,1570125.1371219300,-1324085.9698873600
0,3110203,264,1197114.47033,988187.75571,1592361.2825611600,-1374617.2267704900
0,3110204,265,1170411.69193,990997.79361,1565268.7199806300,-1373367.4433014000
0,3110205,266,1247821.27700,848013.97228,1648804.3187069900,-1512845.1125379800
0,3110206,267,1303022.51841,856957.31882,1704225.1603911700,-1500641.1755859200
0,3120001,268,1131031.47104,882836.59710,1529568.3355098000,-1484429.9543777200
0,3120002,269,1134700.02693,955753.50653,1530535.2243562900,-1410880.8387043600
0,3120003,270,1094988.69525,885108.53422,1493067.6084593200,-1484191.6959274600
0,3130001,271,1096023.94736,1322009.10124,1476221.0514100500,-1046149.4094487200
0,3130002,272,1020319.92527,1184100.71813,1405693.5298263700,-1188698.0228148200
0,3130003,273,1025968.37316,1071407.52594,1416073.0155056300,-1301170.9330658800
0,3130004,274,1033261.22953,971732.63800,1427394.2197772800,-1400685.7156992900
0,3130005,275,1076298.05646,1162914.05250,1463191.2821730100,-1206530.4271055800
0,3130006,276,1124733.50031,1066727.87692,1516112.2142411500,-1300026.8290045100
0,3130007,277,1090673.91340,1058672.37892,1482004.9324353900,-1310127.9439023900
0,3130008,278,1104490.73208,970610.50303,1499434.8153686200,-1397704.8528186800
0,3130009,279,1077513.02030,1011462.62212,1470575.6556780700,-1358259.8370907900
0,3130010,280,1061751.49200,960223.30962,1456637.3464035300,-1410603.1741930200
0,3130011,281,1052838.30202,855318.46451,1451579.4281113900,-1516527.4138329300
0,3130012,282,1023272.16432,904442.13788,1419870.7727556500,-1468811.1334138700
0,3130013,283,1078172.09076,832898.94790,1477995.1329341600,-1537670.4388882200
0,3130014,284,1048321.64613,792202.10055,1449308.7733774000,-1580295.2758726800
0,3140101,285,1002210.04240,852227.63284,1400535.0455522600,-1522453.9897085900
0,3140102,286,924858.30083,877471.63337,1321415.6103274100,-1501375.0895771000
0,3140103,287,906515.10659,919043.43622,1301292.3647063500,-1460684.6177593500
0,3140104,288,866490.98562,906349.87024,1261313.3095859200,-1475620.1116883700
0,3140105,289,866587.90761,863233.72531,1263049.2644415800,-1518853.1301397000
0,3140106,290,804026.34174,887812.63618,1198865.9028465700,-1497605.2189914000
0,3140107,291,815485.28317,849513.59963,1211905.8864525500,-1535380.0872461800
0,3140201,292,980824.38918,979693.00234,1374073.7838882200,-1395697.2684369400
0,3140202,293,951499.74324,987622.46633,1344114.3012464000,-1389415.8041851000
0,3140203,294,974142.21733,903313.57038,1370256.0457196000,-1472700.9881160300
0,3140301,295,924908.73776,1003091.88650,1316617.0383577600,-1375425.8186623200
0,3140302,296,910644.52031,1012942.81607,1301801.9759999300,-1366369.3433560500
0,3140303,297,876452.80872,993484.87127,1267995.9941762400,-1387777.2131998300
0,3140304,298,847534.10538,950868.74106,1240424.7114423700,-1432058.5301720700
0,3140305,299,824292.54798,917664.39998,1218210.8456984500,-1466594.1164264300
0,3150101,300,1012041.79315,1370076.27854,1389128.0752661300,-1003384.2054621500
0,3150102,301,1035921.08691,1341727.39243,1414563.1971404800,-1030203.1422520200
0,3150103,302,990551.00866,1324164.15601,1369477.4426413600,-1050545.8190127800
0,3150104,303,1038996.27954,1302322.40347,1419442.0231274900,-1069376.3109975700
