Id,HUC,ET_ID,ET_X,ET_Y,X_METER,Y_METER,THg
0,5120202,545,771501.1038,1804650.647,1124636.134,-585793.8349,5.3015
0,5120203,546,776564.1984,1871651.478,1126175.199,-518861.5941,1.59135
0,5120204,547,867120.4824,1896231.245,1216155.734,-488560.5828,1.205
0,5120206,549,876060.6888,1840605.088,1228220.309,-543332.1226,1.72665
0,5120207,550,886512.1597,1808711.942,1240486.76,-574389.0751,2.37585
0,5120208,551,812883.2395,1794519.631,1166936.437,-593247.4709,2.04105
0,5120209,552,778163.4522,1741232.81,1134663.786,-648418.8665,3.97
0,5140104,570,847313.0998,1725297.808,1205312.917,-659904.1104,1.98
0,5140203,573,667797.1391,1628724.831,1028808.205,-766949.7985,1.645
0,5140204,574,651718.8613,1664579.953,1010799.432,-732298.7248,1.07
0,6020004,596,951947.8102,1423644.662,1325891.524,-953679.9957,1.38
0,6030002,598,843144.6944,1333225.142,1219986.614,-1050421.661,3.4
0,6040004,606,750350.9742,1417387.062,1122304.075,-972120.404,1.45
0,7010101,609,113516.3432,2714844.062,414465.0649,283073.5985,0.253107021
0,7010102,610,123496.566,2683697.496,426076.5119,252300.3824,0.270372543
0,7010103,611,200648.5149,2679292.718,502994.6246,252019.7816,0.355157706
0,7010104,612,152184.2245,2593429.939,459535.4419,163276.8104,0.27695972
0,7010105,613,139572.3614,2640333.045,444425.7274,209624.0178,0.263568442
0,7010106,614,89021.2495,2635379.265,394389.485,202002.9502,0.465557982
0,7010107,615,60211.6604,2606580.799,367218.9444,171650.6719,0.290102427
0,7010108,616,72814.10704,2564301.216,381975.3852,129955.4226,0.236656039
0,7010203,619,160085.0879,2497868.829,472570.1102,68083.60758,0.216780586
0,7010204,620,120184.634,2473330.607,434006.9186,41461.41035,0.650417128
0,7010205,621,123996.6289,2435191.709,439807.9539,3587.546761,4.957193472
0,7010206,622,217226.9539,2452745.723,532102.0013,26092.82388,0.324148077
0,7020002,625,-2144.97015,2491465.358,310854.5119,53349.93019,3.196549809
0,7020004,627,35201.6813,2419119.85,351793.893,-16998.71472,1.81230643
0,7020005,628,36337.89633,2498046.667,348966.6957,61845.50151,0.650839009
0,7020011,634,179109.7629,2329309.201,500513.2793,-99046.55059,2.019120766
0,7020012,635,168528.9992,2404762.073,485958.05,-24416.09111,0.55044441
0,7030001,636,295816.8192,2568747.693,604059.5101,146459.2197,0.984
0,7030002,637,337573.5437,2573847.082,645384.3306,153957.4392,1.1509
0,7030003,638,241999.3458,2599350.241,548677.5764,174095.8732,1.753062011
0,7030004,639,212689.3115,2561109.218,521616.4981,134178.3988,1.671949725
0,7030005,640,262180.2711,2491603.111,574880.8605,67389.17132,1.101876375
0,7040002,642,222594.8112,2370002.347,541935.1508,-56158.34331,0.817767254
0,7050001,649,382583.7428,2545141.803,691966.5622,127835.5762,0.455236792
0,7050002,650,473088.2303,2582576.402,779907.9553,170756.8019,0.346798012
0,7050003,651,440176.074,2546875.747,749305.9515,132996.8632,1.155008297
0,7050005,653,355390.5041,2444604.472,670691.8859,25728.12297,1.810265114
0,7050007,655,327350.4464,2487309.821,640218.4223,66781.13606,0.699402029
0,7060005,660,468736.4701,2161699.316,800280.5407,-249494.8094,1.0045
0,7070001,662,504372.1056,2546093.553,813384.821,136125.9909,0.89
0,7070002,663,492419.6204,2468499.399,806248.5371,57753.98975,0.901342811
0,7070003,664,484518.3435,2370843.792,804195.9698,-40250.86084,0.365747375
0,7080104,671,428457.6879,2003577.717,768225.3342,-408940.7557,0.74
0,7090001,684,574535.2919,2211728.135,903762.5345,-193310.1799,0.542566534
0,7090006,689,595379.8855,2151235.644,928175.3822,-252228.6145,0.298
0,7100003,693,135859.6684,2249400.067,461227.8414,-180849.198,2.453877291
0,7120001,709,739410.1754,2071744.613,1077596.255,-322219.4316,2.685
0,7120002,710,701281.1401,2007645.482,1042835.239,-388418.6225,0.369
0,7120004,712,657294.2715,2128499.441,991727.4312,-270980.4083,4.0835
0,7120006,714,628177.2767,2201822.257,958215.8878,-199826.3532,1.77335
0,7120007,715,609070.3372,2100210.929,944829.9975,-302138.6611,1.092
0,7130001,716,557162.0068,2040947.405,895863.8172,-364230.0059,2.777
0,7130003,718,503004.4192,1951645.77,846068.5612,-456153.1587,0.948
0,7130004,719,578008.9268,1976143.83,920365.8873,-427351.7088,0.491
0,7130005,720,488822.0572,1995087.388,829489.9132,-413857.6075,2.512
0,7130006,721,607776.1015,1912782.582,953749.5255,-488481.5058,0.866
0,7130007,722,559617.6915,1856802.406,908095.0952,-546952.7061,0.559
0,7130010,725,435843.1346,1938027.027,779064.9578,-473571.654,8.258
0,7130011,726,468374.8473,1858981.867,815913.9619,-550124.2541,3.61
0,7140101,728,500583.6095,1727874.947,854979.2075,-678324.0551,2.127
0,7140105,732,549192.555,1642550.564,908258.8282,-760178.5474,0.801
0,7140106,733,595774.6041,1684465.076,953289.9435,-715868.4616,0.566
0,7140201,736,624291.765,1866717.479,972832.4941,-533228.0553,0.786
0,7140202,737,590896.9581,1774599.582,943865.2167,-626689.8992,0.6
0,7140203,738,557990.0579,1795140.863,909600.9995,-608248.1692,2.3275
0,7140204,739,534809.4305,1731063.723,889396.6466,-673185.916,1.462
0,8010208,748,606633.4499,1395257.637,977921.4922,-1002439.483,2.4007
0,8010210,750,591937.7683,1353173.042,964942.2649,-1045096.32,1.6029
0,8080201,810,340602.244,831662.067,732330.6972,-1577705.772,1.11
0,8080202,811,325016.0038,766859.8446,719107.7678,-1643237.855,1.61
0,8080203,812,290330.428,820338.6773,681921.0666,-1591474.431,3.68
0,8080204,813,281875.8446,871436.5807,671332.9875,-1540871.817,3.1838
0,8090302,821,499627.8914,730736.1387,897056.8189,-1670797.536,1.345
0,9010002,823,-451804.1342,2863339.933,-152525.9382,406898.4354,4.7875
0,9020103,829,13554.30575,2619719.843,320080.202,182459.8244,0.394655208
0,9020106,832,-22968.92516,2646999.351,282353.1237,208003.0908,3.205
0,9020107,833,-71563.43672,2700090.443,231416.2593,258940.1983,2.85
0,9020108,834,-636.22446,2694198.587,302177.9172,256487.0315,4.06
0,9020301,841,-52745.9613,2737932.289,248238.4574,297891.3584,2.51
0,9020303,843,-9200.15218,2772444.542,289685.471,334766.2162,2.645
0,9020304,844,23098.6855,2815650.187,319434.0385,379932.1031,2.215
0,9030001,855,334490.7916,2778075.847,629935.8065,358948.9103,1.528290517
0,9030003,857,225128.4284,2828670.594,518586.5031,403768.788,2.07
0,9030006,860,163129.1055,2770497.582,460583.1144,341719.4798,0.635
0,10010001,864,-1316985.372,3003459.368,-1011185.682,524584.0984,0.65
0,10020007,872,-1224523.032,2574385.872,-913708.8507,93566.9725,154.9383333
0,10030201,879,-1252817.826,2924049.555,-947082.9497,445211.8936,0.46
0,10070001,918,-1126296.339,2493764.51,-813584.5327,14969.50637,2.1425
0,10080010,935,-944329.6221,2484709.684,-631098.4489,10501.44447,3.89
0,10080014,939,-1001801.256,2487410.795,-688725.5166,11670.3837,5.31
0,10090101,942,-856452.949,2486464.893,-543167.4165,14744.25436,1.87
0,10100004,957,-655113.4106,2727080.064,-349580.8442,262213.2503,4.07
0,10110101,959,-484261.7407,2799007.931,-182352.6214,340739.532,4.29
0,10120106,971,-629972.6643,2284627.84,-309306.6363,-179191.0897,30
0,10120109,974,-579061.6262,2319654.773,-259485.1161,-142528.5564,2.7
0,10120111,976,-542039.762,2368993.832,-224195.7091,-92049.95865,115.89
0,10120112,977,-459211.019,2403545.423,-142509.599,-54493.32297,23.38
0,10120202,980,-588440.075,2431624.268,-273007.7681,-31297.48718,21.43
0,10130306,999,-435913.4144,2485131.913,-122389.6737,27810.58308,3.18
0,10190004,1051,-804330.6334,1900503.595,-470697.4147,-566367.5742,3.2646
0,10190005,1052,-786092.2867,1934852.305,-453579.8107,-531720.4697,1.25
0,10190006,1053,-783337.8641,1970580.167,-452140.5569,-496205.9147,1.06
0,10190007,1054,-777400.6047,2007028.94,-447507.7104,-459863.8245,1.21015
0,10190018,1065,-474556.917,2022808.795,-142729.5247,-433400.1201,1.1401
0,10200203,1071,-57906.79705,1999205.394,278306.9052,-438821.1044,5.8688
0,10210002,1073,-432025.4794,2101983.594,-103103.4691,-353226.4368,1.3081
0,10210003,1074,-270510.3735,2056536.756,61497.51924,-391619.6347,4.2473
0,10210006,1077,-375241.9333,2141869.685,-47585.9947,-311371.3852,1.5976
0,10210008,1079,-305482.6787,2135423.223,22889.86682,-314871.5248,2.4924
0,10210010,1081,-216892.7077,2090066.493,114038.471,-356034.9163,4.3558
0,10220003,1084,-76720.80086,2086618.334,255331.503,-353051.2125,2.6021
0,10270104,1141,67114.67436,1783435.031,414424.6496,-646454.0255,2.1041
0,10300101,1169,170447.4766,1801199.958,517970.6363,-623643.7504,4.3473
0,11100301,1277,-294884.3828,1487244.67,61388.49778,-956199.0247,1.4036
0,11100302,1278,-49072.3893,1365203.063,315529.5852,-1066067.1,3.4005
0,12030103,1361,-101769.2566,1146376.695,271539.9098,-1285450.501,1.8477
0,12030105,1363,-49678.44271,1044552.706,328591.5556,-1384209.235,3.7599
0,12030109,1367,-77151.86303,1019988.838,301803.5676,-1409879.32,2.6374
0,12030201,1368,8182.8038,957553.007,390807.019,-1468076.006,4.79485
0,12030202,1369,50880.16345,875389.2303,437411.6765,-1547934.535,2.999
0,13010004,1472,-896759.5061,1713212.899,-556932.8725,-754972.8133,1.2541
0,13020102,1475,-928585.6937,1543635.161,-582424.1239,-924099.6275,0.9623
0,14010001,1539,-919280.8127,1925439.694,-587692.5003,-545254.2196,0.91
0,14010002,1540,-860465.5275,1895487.919,-527196.9365,-573140.0669,0.56
0,14020006,1550,-1023879.377,1761957.324,-687333.9776,-710527.8191,3.865
0,15060202,1670,-1444439.067,1436988.436,-1100224.54,-1045011.735,0.8495
0,15060203,1671,-1420750.411,1350818.571,-1072714.38,-1130275.289,0.5169
0,16010202,1689,-1295191.584,2240433.239,-976761.0411,-241695.5548,2.6
0,16020101,1692,-1269262.174,2094129.133,-946456.9854,-386890.1137,21.76
0,16020204,1697,-1327270.512,2073175.588,-1004319.899,-409025.7682,4.8
0,16050102,1732,-2014457.101,2079095.046,-1697678.73,-413599.8358,16.7419
0,16050201,1735,-2018924.928,2008115.097,-1700419.972,-484863.8396,4.08
0,16050202,1736,-1975342.113,2050126.259,-1657505.234,-442272.0675,172.9469
0,16050203,1737,-1901532.53,2072027.221,-1583576.913,-419518.7245,204.57
0,17010201,1762,-1295497.895,2715767.015,-987082.6736,234195.6025,5.57
0,17010204,1765,-1420951.83,2819711.121,-1113307.659,336888.7015,1.53
0,17010207,1768,-1305094.478,2934657.815,-999018.0391,455006.2986,0.67
0,17010212,1773,-1383203.518,2857740.423,-1076037.711,375881.9707,1.14
0,17010302,1779,-1508053.869,2881502.705,-1200360.107,398145.687,8.91
0,17020013,1798,-1691820.62,2926850.646,-1383207.613,442193.0238,0.5226
0,17030001,1802,-1866986.975,2922967.48,-1557657.959,437256.1694,0.7491
0,17030003,1804,-1853525.027,2833712.104,-1544651.59,346877.5287,0.8747
0,17040101,1805,-1152399.835,2419635.034,-837925.1281,-59737.96314,0.57
0,17090001,1909,-2090703.147,2600332.08,-1781952.646,110414.4978,0.4202
0,17090002,1910,-2130831.058,2607937.938,-1822250.399,118066.2975,3.435
0,17090004,1912,-2069869.923,2640851.084,-1761179.441,151354.2609,0.59645
0,17090005,1913,-2049853.154,2699492.879,-1741187.742,210626.7985,1.0518
0,17090006,1914,-2076973.88,2684229.038,-1768361.591,195176.9174,0.6179
0,17090010,1918,-2086037.124,2804889.595,-1777128.727,317280.4876,2.1363
0,17090011,1919,-2025952.988,2738430.88,-1717227.361,250020.602,2.69115
0,17090012,1920,-2067585.637,2828901.354,-1758533.264,341599.5175,4.5175
0,17100303,1936,-2184073.856,2610541.16,-1875695.899,120712.0587,1.3359
0,17110012,1957,-1948732.797,3000208.016,-1638310.804,515509.1436,2.82
0,17110013,1958,-1942861.688,2966851.91,-1632860.214,481614.2869,0.548
